,Channel_name,Subscribers,Views,Total_videos,playlist_id
0,Lilly Sabri,3970000,555875031,904,UUTsM1dSAiXqiV5oZjuNw_Bg
1,Chloe Ting,24300000,2840239457,380,UUCgLoMYIyP0U56dEhEL1wXQ
2,Pamela Reif,9280000,1606492677,191,UUhVRfsT_ASBZk10o0An7Ucg
3,MadFit,7560000,849266644,616,UUpQ34afVgk8cRQBjSJ1xuJQ
4,Whitney Simmons,2080000,222738687,430,UUEQi1ZNJiw3YMRwni0OLsTQ
5,emi wong,5790000,755639287,423,UUvGEK5_U-kLgO6-AMDPeTUQ
6,blogilates,7790000,2155438669,1117,UUIJwWYOfsCfz6PjxbONYXSg
7,POPSUGAR Fitness,6030000,950112812,1604,UUBINFWq52ShSgUFEoynfSwg
